Entity,Code,Year,Life expectancy at birth (historical)
Switzerland,CHE,1960,71.4
Switzerland,CHE,1961,71.7
Switzerland,CHE,1962,71.3
Switzerland,CHE,1963,71.3
Switzerland,CHE,1964,72.2
Switzerland,CHE,1965,72.3
Switzerland,CHE,1966,72.4
Switzerland,CHE,1967,72.7
Switzerland,CHE,1968,72.7
Switzerland,CHE,1969,72.7
Switzerland,CHE,1970,73.1
Switzerland,CHE,1971,73.2
Switzerland,CHE,1972,73.8
Switzerland,CHE,1973,74.1
Switzerland,CHE,1974,74.4
Switzerland,CHE,1975,74.8
Switzerland,CHE,1976,74.9
Switzerland,CHE,1977,75.4
Switzerland,CHE,1978,75.3
Switzerland,CHE,1979,75.6
Switzerland,CHE,1980,75.6
Switzerland,CHE,1981,75.8
Switzerland,CHE,1982,76.2
Switzerland,CHE,1983,76.2
Switzerland,CHE,1984,76.8
Switzerland,CHE,1985,76.9
Switzerland,CHE,1986,77.0
Switzerland,CHE,1987,77.3
Switzerland,CHE,1988,77.4
Switzerland,CHE,1989,77.6
Switzerland,CHE,1990,77.4
Switzerland,CHE,1991,77.6
Switzerland,CHE,1992,77.9
Switzerland,CHE,1993,78.2
Switzerland,CHE,1994,78.5
Switzerland,CHE,1995,78.6
Switzerland,CHE,1996,79.0
Switzerland,CHE,1997,79.2
Switzerland,CHE,1998,79.5
Switzerland,CHE,1999,79.7
Switzerland,CHE,2000,79.8
Switzerland,CHE,2001,80.3
Switzerland,CHE,2002,80.4
Switzerland,CHE,2003,80.5
Switzerland,CHE,2004,81.1
Switzerland,CHE,2005,81.2
Switzerland,CHE,2006,81.5
Switzerland,CHE,2007,81.7
Switzerland,CHE,2008,82.0
Switzerland,CHE,2009,82.0
Switzerland,CHE,2010,82.3
Switzerland,CHE,2011,82.6
Switzerland,CHE,2012,82.6
Switzerland,CHE,2013,82.7
Switzerland,CHE,2014,83.1
Switzerland,CHE,2015,82.8
Switzerland,CHE,2016,83.4
Switzerland,CHE,2017,83.4
Switzerland,CHE,2018,83.6
Switzerland,CHE,2019,83.8
Switzerland,CHE,2020,83.1
Switzerland,CHE,2021,84.0
